iso_code,year,location,total_cases_year,total_deaths_year,max_stringency_index,population,life_expectancy,max_total_vaccinations,max_people_vaccinated,max_people_fully_vaccinated,total_daily_vaccinations,num_vaccine_types,death_rate_per_100k,vaccination_rate
POL,2021,Poland,2790909.0,67123.0,80.56,39857144,75.4021086,46987401.0,21673668.0,21046400.0,46555517.0,4.0,168.40895574454606,54.37837693538704
POL,2022,Poland,2314550.0,24145.0,48.15,39857144,75.4021086,53908363.0,22585418.0,22343826.0,7311900.0,4.0,60.57885130956699,56.665921672661746
POL,2023,Poland,266683.0,1763.0,,39857144,75.4021086,,,,,,4.423297364206527,
POL,2024,Poland,38734.0,488.0,,39857144,75.4021086,,,,,,1.2243727247491691,
PRI,2020,Puerto Rico,82303.0,1630.0,0.0,3252412,79.90294803,,,,,,50.1166518878912,
PRI,2021,Puerto Rico,170031.0,1671.0,,3252412,79.90294803,,,,,,51.37725478813877,
PRI,2022,Puerto Rico,878705.0,2240.0,,3252412,79.90294803,,,,,,68.87196333059896,
PRI,2023,Puerto Rico,121674.0,397.0,,3252412,79.90294803,,,,,,12.206325643860618,
PRI,2024,Puerto Rico,0.0,0.0,,3252412,79.90294803,,,,,,0.0,
PRK,2020,North Korea,0.0,0.0,,26069416,72.6431485,,,,,,0.0,
PRK,2021,North Korea,0.0,0.0,,26069416,72.6431485,,,,,,0.0,
PRK,2022,North Korea,0.0,0.0,,26069416,72.6431485,,,,,,0.0,
PRK,2023,North Korea,0.0,0.0,,26069416,72.6431485,,,,,,0.0,
PRK,2024,North Korea,0.0,0.0,,26069416,72.6431485,,,,,,0.0,
PRT,2020,Portugal,377474.0,6695.0,87.96,10270857,81.17961003,32749.0,32749.0,,25966.0,4.0,65.18443397663894,0.31885362633322617
PRT,2021,Portugal,905174.0,12193.0,87.96,10270857,81.17961003,19328231.0,9326831.0,9103550.0,19111306.0,4.0,118.71453375312304,90.80869298443159
PRT,2022,Portugal,4267920.0,6885.0,42.59,10270857,81.17961003,22923599.0,9663542.0,9415073.0,3783666.0,4.0,67.03432829412385,94.08700753987715
PRT,2023,Portugal,88931.0,2156.0,,10270857,81.17961003,,,,,,20.991432360512857,
PRT,2024,Portugal,24610.0,880.0,,10270857,81.17961003,,,,,,8.567931575719534,
PRY,2020,Paraguay,103888.0,2154.0,94.44,6780745,70.27080999,,,,,,31.76642094637094,
PRY,2021,Paraguay,361242.0,14444.0,76.85,6780745,70.27080999,6833614.0,3469821.0,2948027.0,6800717.0,7.0,213.01494157352917,51.17167803832765
PRY,2022,Paraguay,256963.0,3068.0,43.72,6780745,70.27080999,8428214.0,3868131.0,3316744.0,1605665.0,7.0,45.245765767625834,57.04581133783972
PRY,2023,Paraguay,13666.0,214.0,,6780745,70.27080999,,,,,,3.1559953957861566,
PRY,2024,Paraguay,0.0,0.0,,6780745,70.27080999,,,,,,0.0,
PSE,2020,Palestine,148540.0,1406.0,96.3,5250076,73.49178033,,,,,,26.78056470039672,
PSE,2021,Palestine,319903.0,3494.0,92.59,5250076,73.49178033,3383211.0,1910794.0,1515699.0,3316566.0,8.0,66.55141754138417,36.39554932157172
PSE,2022,Palestine,234785.0,808.0,30.56,5250076,73.49178033,3694897.0,1995873.0,1756319.0,304203.0,8.0,15.390253398236522,38.01607824343876
PSE,2023,Palestine,0.0,0.0,,5250076,73.49178033,,,,,,0.0,
PSE,2024,Palestine,0.0,0.0,,5250076,73.49178033,,,,,,0.0,
QAT,2020,Qatar,142903.0,244.0,86.11,2695131,76.7101384,0.0,,,12159.0,2.0,9.053363268798437,
QAT,2021,Qatar,104893.0,370.0,87.96,2695131,76.7101384,5205664.0,2360308.0,2218292.0,5169394.0,2.0,13.728460694489431,87.57674487807829
QAT,2022,Qatar,240191.0,71.0,52.46,2695131,76.7101384,6607185.0,2593517.0,2593517.0,1416656.0,2.0,2.6343802954290534,96.22971944591933
QAT,2023,Qatar,26537.0,5.0,,2695131,76.7101384,,,,,,0.18551973911472205,
QAT,2024,Qatar,0.0,0.0,,2695131,76.7101384,,,,,,0.0,
ROU,2020,Romania,613760.0,15108.0,87.04,19659270,72.76430945,10289.0,10289.0,,5905.0,4.0,76.8492421132626,0.052336633048938236
ROU,2021,Romania,1188636.0,43428.0,76.85,19659270,72.76430945,15824909.0,5474507.0,7817215.0,15768938.0,4.0,220.90342113415198,27.846949556112715
ROU,2022,Romania,1502652.0,8805.0,56.48,19659270,72.76430945,16736886.0,8162071.0,8083344.0,961852.0,4.0,44.78803129515999,41.517670798559664
ROU,2023,Romania,207545.0,1373.0,,19659270,72.76430945,,,,,,6.983982619903995,
ROU,2024,Romania,29026.0,111.0,,19659270,72.76430945,,,,,,0.5646191338742487,
RUS,2020,Russia,3050248.0,54778.0,87.04,144713312,70.017337,52000.0,52000.0,,441571.0,2.0,37.85277196889806,0.03593311443248566
RUS,2021,Russia,7341772.0,249440.0,66.2,144713312,70.017337,146364014.0,73824201.0,66773441.0,144476140.0,2.0,172.36838584690813,51.01410504653504
RUS,2022,Russia,11372272.0,89165.0,54.17,144713312,70.017337,163601171.0,79954746.0,72841232.0,18333809.0,2.0,61.61492593024199,55.25044302766009
RUS,2023,Russia,1982260.0,7976.0,,144713312,70.017337,,,,,,5.511586936798185,
RUS,2024,Russia,522176.0,1829.0,,144713312,70.017337,,,,,,1.2638781980195437,
RWA,2020,Rwanda,7817.0,73.0,90.74,13776702,67.54213882,,,,,,0.5298800830561625,
RWA,2021,Rwanda,96695.0,1273.0,76.85,13776702,67.54213882,12588963.0,7629877.0,5435180.0,12608746.0,7.0,9.240237612746505,55.3824638146343
RWA,2022,Rwanda,28408.0,121.0,71.64,13776702,67.54213882,19421047.0,8895871.0,8036044.0,5869730.0,7.0,0.8782943842437763,64.57184745666996
RWA,2023,Rwanda,288.0,1.0,,13776702,67.54213882,,,,,,0.007258631274741952,
RWA,2024,Rwanda,56.0,0.0,,13776702,67.54213882,,,,,,0.0,
SAU,2020,Saudi Arabia,362066.0,6176.0,94.44,36408824,76.42921259,,,,,,16.96292085676813,
SAU,2021,Saudi Arabia,190340.0,2694.0,64.24,36408824,76.42921259,50894142.0,25017090.0,23180879.0,50106413.0,2.0,7.399305179425736,68.7116123278247
SAU,2022,Saudi Arabia,274360.0,638.0,52.75,36408824,76.42921259,62388851.0,26167138.0,24460457.0,11998849.0,2.0,1.7523224589731325,71.87031912923088
SAU,2023,Saudi Arabia,14703.0,138.0,,36408824,76.42921259,,,,,,0.3790289958280443,
SAU,2024,Saudi Arabia,0.0,0.0,,36408824,76.42921259,,,,,,0.0,
SDN,2020,Sudan,24694.0,1520.0,87.04,46874200,67.58515204,,,,,,3.242722009122289,
SDN,2021,Sudan,21591.0,1778.0,64.81,46874200,67.58515204,3276654.0,2782463.0,1234386.0,3459946.0,5.0,3.793131402775941,5.936022374781863
SDN,2022,Sudan,17405.0,1696.0,14.81,46874200,67.58515204,6131070.0,5171677.0,2746556.0,2613097.0,5.0,3.618195083862765,11.033099231560218
SDN,2023,Sudan,303.0,52.0,,46874200,67.58515204,,,,,,0.11093522662786778,
SDN,2024,Sudan,0.0,0.0,,46874200,67.58515204,,,,,,0.0,
SEN,2020,Senegal,18523.0,387.0,77.78,17316452,67.79198263,,,,,,2.2348688980860514,
SEN,2021,Senegal,55830.0,1503.0,58.8,17316452,67.79198263,1903098.0,1316401.0,918359.0,1927823.0,3.0,8.679607115822572,7.602024941367897
SEN,2022,Senegal,14547.0,78.0,13.89,17316452,67.79198263,2496373.0,1457116.0,1039257.0,572891.0,3.0,0.45043869263749875,8.414633667451046
SEN,2023,Senegal,150.0,3.0,,17316452,67.79198263,,,,,,0.017324565101442257,
SEN,2024,Senegal,435.0,0.0,,17316452,67.79198263,,,,,,0.0,
SGP,2020,Singapore,58519.0,29.0,82.41,5637022,83.85708962,130.0,130.0,,6.0,4.0,0.5144560372480363,0.002306182235939473
SGP,2021,Singapore,219245.0,793.0,58.33,5637022,83.85708962,11583542.0,4757927.0,4618252.0,11447665.0,4.0,14.067711639230785,84.40497482535991
SGP,2022,Singapore,1916126.0,889.0,46.74,5637022,83.85708962,13825593.0,5005722.0,4964989.0,2351301.0,4.0,15.770738521155318,88.80082426501085
SGP,2023,Singapore,730625.0,243.0,,5637022,83.85708962,,,,,,4.310786794871476,
